train sparse categorical crossentropy,train sparse categorical accuracy,val sparse categorical crossentropy,val sparse categorical accuracy,train learning rate
1.1665871143341064,0.5614374876022339,0.7949239015579224,0.6940523982048035,0.0010000000474974513
0.6953054070472717,0.7407500147819519,0.5996946692466736,0.7789818644523621,0.0010000000474974513
0.5327461361885071,0.8038750290870667,0.4805813729763031,0.8230846524238586,0.0010000000474974513
0.4511662423610687,0.8393437266349792,0.4221252501010895,0.8535786271095276,0.0010000000474974513
0.40533721446990967,0.8567187786102295,0.40435776114463806,0.8555947542190552,0.0010000000474974513
0.3703974783420563,0.8720312714576721,0.36007097363471985,0.8747479915618896,0.0010000000474974513
0.3468060791492462,0.8797500133514404,0.3346472978591919,0.8838205933570862,0.0010000000474974513
0.33333641290664673,0.8838750123977661,0.34279894828796387,0.8790322542190552,0.0010000000474974513
0.31509408354759216,0.8902812600135803,0.33509889245033264,0.8850806355476379,0.0010000000474974513
0.2808941602706909,0.9048125147819519,0.28955745697021484,0.8994455933570862,0.00010000000474974513
0.2733875513076782,0.9070000052452087,0.2876298129558563,0.8969253897666931,0.00010000000474974513
0.2698633372783661,0.9077812433242798,0.2815031409263611,0.9009576439857483,0.00010000000474974513
0.2668326795101166,0.9091562628746033,0.277691513299942,0.9029737710952759,0.00010000000474974513
0.26369136571884155,0.910031259059906,0.2740691006183624,0.9024697542190552,0.00010000000474974513
0.2601672410964966,0.9105625152587891,0.27351781725883484,0.9017137289047241,0.00010000000474974513
0.2572239935398102,0.9113125205039978,0.2674218714237213,0.9052419066429138,0.00010000000474974513
0.25379127264022827,0.9126250147819519,0.26479536294937134,0.9059979915618896,0.00010000000474974513
0.25157907605171204,0.9136250019073486,0.26856729388237,0.90625,0.00010000000474974513
0.24875794351100922,0.9141250252723694,0.26085856556892395,0.907006025314331,0.00010000000474974513
0.246605783700943,0.9147812724113464,0.26216623187065125,0.9059979915618896,0.00010000000474974513
0.2442525029182434,0.9153437614440918,0.26397374272346497,0.9029737710952759,0.00010000000474974513
0.23863539099693298,0.9177812337875366,0.25603583455085754,0.9075101017951965,1.0000000656873453e-05
0.23750750720500946,0.9188437461853027,0.25580811500549316,0.9085181355476379,1.0000000656873453e-05
0.23704318702220917,0.9191874861717224,0.2554999589920044,0.9087701439857483,1.0000000656873453e-05
0.23659570515155792,0.9192500114440918,0.25516563653945923,0.9085181355476379,1.0000000656873453e-05
0.23641282320022583,0.9191250205039978,0.256192684173584,0.907006025314331,1.0000000656873453e-05
0.23612231016159058,0.9193750023841858,0.2543753385543823,0.9102822542190552,1.0000000656873453e-05
0.2358931601047516,0.9194062352180481,0.25454357266426086,0.9082661271095276,1.0000000656873453e-05
0.23577983677387238,0.9197187423706055,0.25561434030532837,0.9090221524238586,1.0000000656873453e-05
0.23497101664543152,0.9199374914169312,0.25516483187675476,0.9082661271095276,1.0000001111620804e-06
0.23488762974739075,0.9196875095367432,0.2550671100616455,0.9082661271095276,1.0000001111620804e-06
0.2347770631313324,0.9196875095367432,0.25505438446998596,0.9082661271095276,1.000000082740371e-07
